age,height
13.93,137.27
7.9,91.35
15.45,146.22
12.55,122.71
1.7,53.53
17.56,158.65
13.7,132.55
14.15,132.04
2.31,59.41
8.11,95.67
6.67,84.37
16.68,153.15
11.59,117.37
14.81,138.63
7.98,94.41
4.09,62.11
9.98,103.87
1.15,45.11
14.9,135.74
11.37,118.56
13.65,133.54
6.38,79.28
17.47,155.77
16.08,140.38
14.01,131.93
3.5,71.46
8.4,95.64
0.79,47.47
2.78,61.45
12.29,116.34
13.41,128.19
17.42,160.12
5.86,77.99
6.67,85.6
8.45,95.7
3.41,65.67
2.34,55.53
8.56,98.08
4.08,72.46
12.06,116.41
7.87,88.21
14.99,144.92
12.6,122.68
5.62,80.98
14.98,139.53
14.49,141.48
6.97,85.55
5.19,74.92
12.28,125.65
2.52,57.5
3.6,61.92
0.13,44.34
14.16,136.06
11.97,113.99
12.69,125.8
14.05,132.26
8.26,96.86
10.24,99.44
2.52,56.23
2.06,51.0
12.03,116.66
8.48,95.59
10.17,105.65
13.77,131.01
11.42,114.37
9.96,105.37
10.07,102.42
5.47,77.96
0.55,49.9
7.86,91.98
3.86,67.95
7.35,88.45
15.36,149.86
4.21,68.05
1.05,49.62
5.06,71.13
5.28,71.62
11.91,114.58
10.03,102.51
14.11,134.09
11.96,119.62
7.31,87.47
14.65,136.07
3.01,64.05
0.41,49.36
1.62,53.16
13.0,124.18
8.31,95.41
2.9,61.33
9.02,94.06
2.74,59.65
12.53,123.53
8.03,89.22
6.86,85.0
5.43,71.21
11.35,118.3
6.51,86.0
1.58,52.65
2.12,57.5
17.31,151.79
16.35,147.97
12.59,122.3
4.79,68.5
17.45,162.2
14.02,139.6
12.9,121.89
8.09,89.78
4.9,73.11
1.74,59.1
16.25,146.93
8.2,93.79
3.64,70.47
5.51,71.11
10.43,104.07
3.18,61.09
15.42,142.64
13.65,133.35
12.95,126.48
7.78,84.96
11.29,115.46
10.51,106.78
11.7,120.6
1.52,51.21
7.48,86.49
0.75,50.56
8.89,99.85
5.94,80.04
2.6,54.01
1.86,56.57
10.58,105.85
3.07,62.43
16.65,149.5
10.46,109.48
6.24,78.17
10.64,105.51
0.41,49.29
17.25,159.26
